id,pkgId,vId,wId,dest,shipCost,confirmed,status,shipDate,eta
1,1,2,0,Bago City Block 1 Lot 1,100,true,Pending,04/10/2024,05/10/2024
3,3,2,0,Bago City Block 3 Lot 3,70,false,Paid,11/10/2024,12/10/2024
4,4,2,0,Bago City Block 4 Lot 4,120,false,Paid,12/10/2024,13/10/2024
5,5,0,0,Bago City Block 5 Lot 5,80,false,Delivered,05/10/2024,06/10/2024
6,6,0,0,Bago City Block 6 Lot 6,60,false,Delivered,05/10/2024,06/10/2024
7,7,0,0,Bago City Block 7 Lot 7,140,false,Delivered,06/10/2024,07/10/2024
8,8,0,0,Bago City Block 8 Lot 8,90,false,Delivered,07/10/2024,08/10/2024
9,9,0,0,Bago City Block 9 Lot 9,110,false,Delivered,07/10/2024,08/10/2024
10,10,2,0,Bago City Block 10 Lot 10,130,false,Paid,08/10/2024,09/10/2024
11,12,2,0,Bago City Torres St,450.0,false,Paid,10/13/2024,10/16/2024
12,12,2,1,Bago City,300.0,false,Paid,10/16/2024,10/17/2024
13,13,2,0,Bago City,300.0,false,Paid,10/17/2024,10/21/2024
